Site,Latitude,Longitude,Temperature,Pressure,CO2 flux [ppm],Soil Temperature [Â°],Comment,Instrument,Date,flux[g/m2/d],data quality
profilns34,50.14536,12.49726,9,966.8,1.060,none,none,WS120,17-04-2024 14:29:2,14.58,true value
profilns35,50.14586,12.49819,9,966.8,0.749,none,none,WS120,17-04-2024 14:35:3,10.30,true value
Nickschieckw29,50.14819,12.50173,23.49,956.12,0.854,none,acker bepflanzt+,WS220,17-04-2024 14:36:2,11.05,true value
Nickschieckw30,50.14790,12.50126,23.98,956.04,0.827,none,acker bepflanzt+,WS220,17-04-2024 14:39:2,10.68,true value
profilns36,50.14674,12.49945,9,966.9,4.190,none,none,WS120,17-04-2024 14:41:4,57.64,true value
Nickschieckw31,50.14758,12.50081,24.20,955.96,1.410,none,acker bepflanzt+,WS220,17-04-2024 14:42:0,18.20,true value
Nickschieckw32,50.14732,12.50035,24.02,956.00,1.400,none,acker bepflanzt ,WS220,17-04-2024 14:44:3,18.08,true value
profilns37,50.14706,12.49988,9,967.2,0.988,none,none,WS120,17-04-2024 14:46:4,13.59,true value
Nickschieckw33,50.14993,12.50133,21.29,956.10,1.320,none,fw,WS220,17-04-2024 14:57:4,17.20,true value
Nickschieckw34,50.15027,12.50183,22.00,956.06,1.870,none,fw,WS220,17-04-2024 15:01:2,24.31,true value
Nickschieckw35,50.15060,12.50224,22.44,956.10,0.967,none,fw,WS220,17-04-2024 15:03:4,12.55,true value
Nickschieckw36,50.15089,12.50273,22.85,956.10,1.540,none,fw,WS220,17-04-2024 15:06:0,19.97,true value
Profil2W1,50.13776,12.46138,23.01,955.40,0.538,none,acker braun ,WS220,17-04-2024 16:35:3,6.97,true value
Profil2W2,50.13792,12.46196,23.36,955.15,0.724,none,acker braun ,WS220,17-04-2024 16:38:3,9.36,true value
Profil2W3,50.13797,12.46211,23.41,955.00,0.435,none,acker braun ,WS220,17-04-2024 16:40:5,5.62,true value
profilmk1,50.13784,12.46163,8,966.3,0.609,none,soil,WS120,17-04-2024 16:43:0,8.40,true value
Profil2W4,50.13809,12.46285,23.38,954.84,0.351,none,acker braun ,WS220,17-04-2024 16:43:5,4.54,true value
Profil2W5,50.13829,12.46339,23.01,954.75,0.452,none,acker braun ,WS220,17-04-2024 16:47:1,5.85,true value
Profil2W6,50.13849,12.46394,22.39,954.55,0.454,none,acker braun ,WS220,17-04-2024 16:49:4,5.89,true value
Profil2W7,50.13888,12.46497,21.56,954.36,0.242,none,acker braun ,WS220,17-04-2024 16:52:5,3.15,true value
profilmk2,50.13868,12.46448,8,965.8,0.989,none,none,WS120,17-04-2024 16:55:3,13.64,true value
Profil2W8,50.13909,12.46555,20.87,954.42,0.588,none,acker braun ,WS220,17-04-2024 16:56:1,7.66,true value
profilmk3,50.13937,12.46615,8,965.4,0.653,none,none,WS120,17-04-2024 17:00:0,9.00,true value
Profil2W9,50.13954,12.46673,19.58,954.26,0.468,none,acker braun ,WS220,17-04-2024 17:03:3,6.12,true value
profilmk4,50.13977,12.46711,8,965.4,0.653,none,none,WS120,17-04-2024 17:04:2,9.00,true value
profilmk5,50.14019,12.46805,8,965.5,0.459,none,none,WS120,17-04-2024 17:08:1,6.33,true value
Profil2W10,50.14071,12.46902,18.55,954.26,0.487,none,acker braun ,WS220,17-04-2024 17:09:1,6.39,true value
Profil2W11,50.14123,12.46999,18.01,954.29,0.486,none,acker bepflanzt ,WS220,17-04-2024 17:14:0,6.39,true value
profilmk6,50.14095,12.46950,8,965.6,0.403,none,none,WS120,17-04-2024 17:16:3,5.56,true value
Profil2W12,50.14177,12.47094,17.45,954.35,0.663,none,fw,WS220,17-04-2024 17:20:1,8.74,true value
Profil2W13,50.14270,12.47282,16.86,954.45,0.563,none,fw,WS220,17-04-2024 17:25:3,7.44,true value
profilmk7,50.14220,12.47131,8,965.6,2.330,none,none,WS120,17-04-2024 17:27:2,32.12,true value
profilmk8,50.14237,12.47162,8,965.6,0.774,none,none,WS120,17-04-2024 17:30:4,10.67,true value
Profil2W14,50.14053,12.46798,14.78,954.70,0.319,none,acker braun ,WS220,17-04-2024 17:35:5,4.25,true value
profilmk9,50.14044,12.46766,8,965.9,0.207,none,none,WS120,17-04-2024 17:39:1,2.85,true value
Profil2W16,50.13981,12.46596,13.81,954.89,0.390,none,acker braun ,WS220,17-04-2024 17:41:4,5.21,true value
profilmk10,50.13984,12.46648,8,965.9,0.170,none,none,WS120,17-04-2024 17:43:1,2.34,true value
propaninaprofilW1,50.19938,12.46972,15.29,953.19,0.931,none,fw,WS220,18-04-2024 11:09:2,12.35,true value
ProfilKopaninaAnna1,50.19950,12.46975,5,956,1.260,none,none,WS082,18-04-2024 11:11:4,17.38,true value
profilkopanina1,50.19922,12.46965,6,964.5,0.984,none,none,WS120,18-04-2024 11:13:1,13.65,true value
propaninaprofilW2,50.19868,12.46922,15.64,954.02,0.773,none,fw,WS220,18-04-2024 11:14:5,10.25,true value
ProfilKopaninaAnna2,50.19899,12.46945,5,956,1.040,none,gruene wiese ,WS082,18-04-2024 11:15:3,14.35,true value
profilkopanina2,50.19887,12.46936,6,965.0,1.360,none,none,WS120,18-04-2024 11:16:3,18.87,true value
ProfilKopaninaAnna3,50.19851,12.46899,5,956,1.160,none,none,WS082,18-04-2024 11:18:2,16.00,true value
propaninaprofilW3,50.19829,12.46849,14.50,955.07,0.839,none,fw,WS220,18-04-2024 11:22:4,11.18,true value
profilkopanina3,50.19820,12.46853,6,966.4,1.160,none,none,WS120,18-04-2024 11:25:5,16.12,true value
propaninaprofilW4,50.19768,12.46841,16.47,955.56,1.080,none,fw,WS220,18-04-2024 11:27:5,14.30,true value
profilkopanina4,50.19792,12.46841,6,966.5,1.110,none,none,WS120,18-04-2024 11:28:4,15.43,true value
propaninaprofilW5,50.19730,12.46830,16.93,955.97,1.320,none,fw,WS220,18-04-2024 11:31:1,17.46,true value
profilkopanina5,50.19753,12.46837,6,966.8,0.865,none,none,WS120,18-04-2024 11:32:0,12.03,true value
propaninaprofilW6,50.19668,12.46820,17.21,956.37,0.870,none,fw,WS220,18-04-2024 11:34:1,11.50,true value
profilkopanina6,50.19687,12.46823,6,967.3,2.270,none,none,WS120,18-04-2024 11:36:0,31.57,true value
propaninaprofilW7,50.19629,12.46812,17.36,956.67,0.740,none,none,WS220,18-04-2024 11:36:5,9.78,true value
propaninaprofilW8,50.19571,12.46791,17.58,956.80,0.931,none,fw,WS220,18-04-2024 11:40:1,12.30,true value
profilkopanina7,50.19613,12.46798,6,967.9,0.843,none,none,WS120,18-04-2024 11:41:0,11.73,true value
ProfilKopaninaAnna6,50.19591,12.46795,6,956,1.480,none,none,WS082,18-04-2024 11:42:1,20.34,true value
propaninaprofilW9,50.19512,12.46763,17.51,957.15,0.803,none,fw,WS220,18-04-2024 11:43:5,10.61,true value
profilkopanina8,50.19550,12.46787,6,968.0,1.040,none,none,WS120,18-04-2024 11:44:0,14.48,true value
ProfilKopaninaAnna7,50.19530,12.46778,6,988,0.937,none,none,WS082,18-04-2024 11:44:5,13.31,true value
propaninaprofilW10,50.19474,12.46743,17.44,957.66,0.798,none,fw,WS220,18-04-2024 11:46:5,10.56,true value
profilkopanina9,50.19493,12.46750,6,968.4,1.040,none,none,WS120,18-04-2024 11:47:3,14.48,true value
ProfilKopaninaAnna7,50.19459,12.46732,6,960,0.772,none,super wet,WS082,18-04-2024 11:49:4,10.66,true value
propaninaprofilW11,50.19416,12.46733,17.35,957.61,1.320,none,fw,WS220,18-04-2024 11:51:3,17.47,true value
profilkopanina10,50.19438,12.46733,6,968.9,1.740,none,none,WS120,18-04-2024 11:53:2,24.24,true value
ProfilKopaninaAnna8,50.19396,12.46737,7,960,1.680,none,none,WS082,18-04-2024 11:53:5,23.11,true value
propaninaprofilW12,50.19377,12.46736,17.76,957.20,1.160,none,fw,WS220,18-04-2024 11:54:3,15.32,true value
ProfilKopaninaAnna9,50.19358,12.46734,7,988,2.070,none,none,WS082,18-04-2024 11:56:5,29.30,true value
propaninaprofilW14,50.19298,12.46729,18.85,957.29,1.370,none,fw,WS220,18-04-2024 11:58:0,18.03,true value
profilkopanina11,50.19338,12.46733,6,968.3,1.420,none,none,WS120,18-04-2024 11:58:1,19.77,true value
ProfilKopaninaAnna10,50.19319,12.46738,7,960,1.590,none,none,WS082,18-04-2024 12:00:2,21.87,true value
propaninaprofilW15,50.19240,12.46727,18.97,957.77,0.369,none,fw,WS220,18-04-2024 12:02:4,4.86,true value
profilkopanina12,50.19278,12.46726,6,968.9,2.370,none,none,WS120,18-04-2024 12:02:5,33.02,true value
ProfilKopaninaAnna11,50.19264,12.46730,7,960,0.640,none,bare ground ,WS082,18-04-2024 12:04:3,8.80,true value
propaninaprofilW16,50.19194,12.46738,18.53,957.65,0.393,none,bare soil ,WS220,18-04-2024 12:07:2,5.18,true value
profilkopanina13,50.19220,12.46734,6,969.0,1.380,none,none,WS120,18-04-2024 12:07:5,19.23,true value
ProfilKopaninaAnna12,50.19170,12.46751,7,960,1.860,none,none,WS082,18-04-2024 12:10:3,25.58,true value
profilkopanina14,50.19152,12.46730,6,968.5,0.997,none,none,WS120,18-04-2024 12:12:4,13.88,true value
propaninaprofilW17,50.19142,12.46710,17.88,957.49,0.396,none,acker bepfl,WS220,18-04-2024 12:12:4,5.23,true value
ProfilKopaninaAnna13,50.19129,12.46681,7,960,0.826,none,new field; weizenacker,WS082,18-04-2024 12:14:4,11.36,true value
profilkopanina15,50.19114,12.46635,6,968.8,0.808,none,none,WS120,18-04-2024 12:16:2,11.26,true value
propaninaprofilW18,50.19048,12.46543,18.09,958.14,0.974,none,acker bepfl ,WS220,18-04-2024 12:17:2,12.86,true value
ProfilKopaninaAnna14,50.19083,12.46581,7,960,0.931,none,none,WS082,18-04-2024 12:18:2,12.81,true value
profilkopanina16,50.19022,12.46507,6,969.3,1.670,none,none,WS120,18-04-2024 12:21:2,23.28,true value
propaninaprofilW19,50.18955,12.46444,17.76,958.41,1.250,none,acker bepfl ,WS220,18-04-2024 12:21:2,16.53,true value
ProfilKopaninaAnna15,50.18984,12.46464,7,960,0.810,none,none,WS082,18-04-2024 12:23:1,11.14,true value
propaninaprofilW20,50.18882,12.46392,17.51,958.54,0.899,none,acker bepfl ,WS220,18-04-2024 12:24:1,11.90,true value
profilkopanina17,50.18920,12.46401,6,969.5,2.610,none,none,WS120,18-04-2024 12:25:2,36.39,true value
ProfilKopaninaAnna16,50.18856,12.46351,7,960,0.836,none,none,WS082,18-04-2024 12:28:1,11.50,true value
propaninaprofilW21,50.18798,12.46268,17.47,958.86,1.230,none,acker bepfl ,WS220,18-04-2024 12:28:1,16.29,true value
profilkopanina18,50.18829,12.46308,6,969.9,0.944,none,none,WS120,18-04-2024 12:30:0,13.17,true value
propaninaprofilW22,50.18810,12.46232,17.34,958.90,0.777,none,fw ,WS220,18-04-2024 12:31:5,10.30,true value
ProfilKopaninaAnna17,50.18775,12.46217,7,960,0.797,none,aufgelockerter Acker ohne Bewuchs,WS082,18-04-2024 12:33:5,10.96,true value
profilkopanina19,50.18782,12.46184,6,970.4,0.467,none,none,WS120,18-04-2024 12:34:5,6.52,true value
propaninaprofilW22,50.18755,12.46145,17.16,959.16,0.074,none,fw,WS220,18-04-2024 12:35:1,0.98,true value
ProfilKopaninaAnna18,50.18741,12.46171,7,960,0.706,none,none,WS082,18-04-2024 12:37:3,9.71,true value
profilkopanina20,50.18727,12.46109,6,970.3,0.200,none,none,WS120,18-04-2024 12:38:5,2.79,true value
ProfilKopaninaAnna19,50.18675,12.46109,7,960,0.618,none,acker aufgelockert,WS082,18-04-2024 12:42:3,8.50,true value
propaninaprofilW23,50.18570,12.45985,15.72,959.49,0.530,none,fw,WS220,18-04-2024 12:43:3,7.07,true value
profilkopanina21,50.18652,12.46054,6,970.5,7.980,none,none,WS120,18-04-2024 12:44:0,111.36,true value
profilkopanina22,50.18654,12.46038,6,970.6,1.390,none,none,WS120,18-04-2024 12:47:1,19.40,true value
propaninaprofilW25,50.18534,12.45959,16.20,959.57,0.515,none,fw,WS220,18-04-2024 12:47:1,6.86,true value
propaninaprofilW26,50.18620,12.46024,16.06,959.40,1.200,none,fw,WS220,18-04-2024 12:50:4,15.98,true value
propaninaprofilW27,50.18500,12.45936,17.53,959.61,0.530,none,fw,WS220,18-04-2024 12:57:2,7.02,true value
ProfilKopaninaAnna20,50.18472,12.45907,7,960,0.818,none,wiese aber nicht so dicht,WS082,18-04-2024 13:01:0,11.25,true value
propaninaprofilW28,50.18425,12.45851,18.15,959.84,0.515,none,fw,WS220,18-04-2024 13:01:0,6.81,true value
profilkopanina23,50.18440,12.45895,6,970.9,0.356,none,none,WS120,18-04-2024 13:01:1,4.97,true value
profilkopanina24,50.18415,12.45837,6,971.0,0.970,none,none,WS120,18-04-2024 13:04:2,13.54,true value
ProfilKopaninaAnna21,50.18388,12.45800,7,960,0.608,none,none,WS082,18-04-2024 13:05:0,8.36,true value
propaninaprofilW29,50.18360,12.45766,17.96,959.97,0.674,none,fw,WS220,18-04-2024 13:06:0,8.92,true value
profilkopanina25,50.18370,12.45786,6,971.0,5.930,none,none,WS120,18-04-2024 13:07:5,82.80,true value
propaninaprofilW30,50.18332,12.45741,17.52,960.11,0.685,none,fw,WS220,18-04-2024 13:08:4,9.08,true value
propaninaprofilW31,50.18287,12.45672,17.36,960.23,0.404,none,fw,WS220,18-04-2024 13:11:5,5.36,true value
profilkopanina26,50.18318,12.45719,6,971.2,0.836,none,none,WS120,18-04-2024 13:12:0,11.67,true value
ProfilKopaninaAnna22,50.18301,12.45691,7,960,1.270,none,none,WS082,18-04-2024 13:12:5,17.47,true value
profilkopanina27,50.18276,12.45651,6,971.3,0.559,none,none,WS120,18-04-2024 13:14:5,7.81,true value
propaninaprofilW3Walt1,50.20157,12.47169,n.a.,51.0,1.830,none,fw,WS120,18-04-2024 15:15:1,1.29,copied from value
ProfilKopaninaAnna23,50.20148,12.47147,8,960,1.610,none,gruene wiese ,WS082,18-04-2024 15:17:5,22.07,true value
propaninaprofilW3Walt2,50.20174,12.47195,n.a.,51.0,1.250,none,wiese,WS120,18-04-2024 15:18:2,0.88,copied from value
propaninaprofilW3Walt3,50.20182,12.47216,n.a.,51.0,2.020,none,none,WS120,18-04-2024 15:20:5,1.42,copied from value
propaninaprofilW3Walt4,50.20133,12.47141,n.a.,51.0,0.978,none,wiese ,WS120,18-04-2024 15:25:4,0.69,copied from value
ProfilKopaninaAnna25,50.20226,12.47247,7,955,1.200,none,none,WS082,18-04-2024 15:27:4,16.42,true value
propaninaprofilW3Walt5,50.20132,12.47122,n.a.,51.0,1.810,none,wiese ,WS120,18-04-2024 15:28:0,1.28,copied from value
ProfilKopaninaAnna26,50.20250,12.47263,7,955,2.050,none,none,WS082,18-04-2024 15:30:1,28.05,true value
propaninaprofilW3Walt6,50.20113,12.47090,n.a.,51.0,1.590,none,wiese ,WS120,18-04-2024 15:30:5,1.12,copied from value
propaninaprofilW3Walt7,50.20098,12.47063,n.a.,51.0,2.580,none,wiese ,WS120,18-04-2024 15:33:1,1.82,copied from value
ProfilKopaninaAnna27,50.20270,12.47277,7,960,1.600,none,none,WS082,18-04-2024 15:34:4,22.01,true value
propaninaprofilW3Walt7,50.20084,12.47048,n.a.,51.0,1.860,none,wiese ,WS120,18-04-2024 15:35:1,1.31,copied from value
ProfilKopaninaAnna28,50.20287,12.47302,7,960,1.110,none,none,WS082,18-04-2024 15:37:0,15.27,true value
propaninaprofilW3Walt8,50.20071,12.47025,n.a.,51.0,2.020,none,wiese ,WS120,18-04-2024 15:38:0,1.42,copied from value
ProfilKopaninaAnna29,50.20307,12.47326,7,960,0.697,none,none,WS082,18-04-2024 15:40:0,9.59,true value
propaninaprofilW3Walt9,50.20048,12.47018,n.a.,51.0,1.390,none,wiese,WS120,18-04-2024 15:40:3,0.98,copied from value
ProfilKopaninaAnna30,50.20317,12.47356,7,960,1.760,none,none,WS082,18-04-2024 15:42:3,24.21,true value
ProfilKopaninaAnna31,50.17411,12.44312,7,966,1.760,none,gruene wiese ,WS082,18-04-2024 16:29:2,24.36,true value
ProfilKopaninaAnna32,50.17426,12.44337,8,955,1.670,none,none,WS082,18-04-2024 16:48:3,22.77,true value
ProfilKopaninaAnna33,50.17442,12.44354,8,960,2.100,none,none,WS082,18-04-2024 16:53:1,28.78,true value
ProfilKopaninaAnna34,50.17457,12.44370,7,960,1.880,none,none,WS082,18-04-2024 16:56:2,25.86,true value
ProfilKopaninaAnna35,50.17472,12.44385,7,960,2.030,none,none,WS082,18-04-2024 16:59:2,27.92,true value
propaninaprofilW3Walt10,50.17483,12.44408,15.47,963.97,1.070,none,wiese vergleichsmessung,WS220,18-04-2024 17:03:0,14.34,true value
propaninaprofilW3Walt11,50.17518,12.44442,16.17,963.88,1.020,none,wiese ,WS220,18-04-2024 17:07:1,13.64,true value
ProfilKopaninaAnna37,50.17504,12.44424,7,955,1.140,none,none,WS082,18-04-2024 17:09:0,15.60,true value
propaninaprofilW3Walt12,50.17538,12.44458,16.52,963.85,0.813,none,wiese ,WS220,18-04-2024 17:09:4,10.86,true value
ProfilKopaninaAnna38,50.17549,12.44467,7,960,1.040,none,none,WS082,18-04-2024 17:13:4,14.30,true value
propaninaprofilW3Walt13,50.17628,12.44435,15.77,963.87,0.840,none,wiese ,WS220,18-04-2024 17:18:2,11.25,true value
ProfilKopaninaAnna39,50.17667,12.44458,7,955,1.660,none,none,WS082,18-04-2024 17:21:2,22.71,true value
propaninaprofilW3Walt14,50.17712,12.44480,16.07,964.07,1.120,none,wiese ,WS220,18-04-2024 17:21:4,14.99,true value
ProfilKopaninaAnna40,50.17745,12.44491,7,960,2.270,none,none,WS082,18-04-2024 17:25:2,31.22,true value
propaninaprofilW3Walt15,50.17754,12.44505,16.74,964.06,0.972,none,wiese ,WS220,18-04-2024 17:25:3,12.98,true value
ProfilKopaninaAnna41,50.17762,12.44534,7,966,1.380,none,none,WS082,18-04-2024 17:28:4,19.10,true value
ProfilKopaninaAnna42,50.17797,12.44579,7,955,0.553,none,sehr feucht,WS082,18-04-2024 17:41:3,7.57,true value
ProfilKopaninaAnna43,50.17806,12.44612,7,960,1.040,none,none,WS082,18-04-2024 17:44:3,14.30,true value
propaninaprofilW3Walt17,50.17814,12.44676,19.10,964.26,1.110,none,wiese ,WS220,18-04-2024 17:46:4,14.70,true value
ProfilKopaninaAnna44,50.17807,12.44640,7,960,1.230,none,none,WS082,18-04-2024 17:48:0,16.92,true value
propaninaprofilW3Walt18,50.17822,12.44709,19.56,964.06,0.996,none,wiese ,WS220,18-04-2024 17:50:5,13.17,true value
ProfilKopaninaAnna45,50.17812,12.44686,7,960,1.110,none,brown gras,WS082,18-04-2024 17:51:1,15.27,true value
ProfilKopaninaAnna46,50.17829,12.44737,7,995,1.110,none,none,WS082,18-04-2024 17:54:0,15.82,true value
propaninaprofilW3Walt19,50.17835,12.44760,19.74,963.40,1.330,none,wiese ,WS220,18-04-2024 17:54:3,17.56,true value
ProfilKopaninaAnna47,50.17848,12.44791,7,970,0.936,none,beginn von acker,WS082,18-04-2024 17:58:5,13.01,true value
propaninaprofilW3Walt20,50.17865,12.44835,19.37,962.43,0.366,none,acker Frisch bepfl ,WS220,18-04-2024 17:59:4,4.83,true value
ProfilKopaninaAnna48,50.17854,12.44814,7,960,0.694,none,acker mit jungpflanzen,WS082,18-04-2024 18:01:4,9.55,true value
propaninaprofilW3Walt21,50.17908,12.44915,18.87,961.86,0.265,none,acker Frisch bepfl ,WS220,18-04-2024 18:04:1,3.50,true value
ProfilKopaninaAnna49,50.17882,12.44863,7,970,0.703,none,none,WS082,18-04-2024 18:04:2,9.77,true value
ProfilKopaninaAnna50,50.17931,12.44956,7,980,0.728,none,none,WS082,18-04-2024 18:07:5,10.22,true value
propaninaprofilW3Walt22,50.17954,12.45009,18.73,961.64,0.474,none,acker Frisch bepfl ,WS220,18-04-2024 18:08:0,6.27,true value
propaninaprofilW3Walt23,50.18003,12.45106,19.12,961.67,0.360,none,acker Frisch bepfl ,WS220,18-04-2024 18:11:3,4.75,true value
ProfilKopaninaAnna51,50.17976,12.45050,7,980,0.525,none,none,WS082,18-04-2024 18:11:5,7.37,true value
ProfilKopaninaAnna52,50.18029,12.45164,7,980,0.556,none,none,WS082,18-04-2024 18:15:5,7.81,true value
propaninaprofilW3Walt24,50.18053,12.45207,19.50,961.66,0.343,none,acker Frisch bepfl ,WS220,18-04-2024 18:16:0,4.52,true value
ProfilKopaninaAnna53,50.18081,12.45257,7,995,0.596,none,none,WS082,18-04-2024 18:20:1,8.50,true value
propaninaprofilW3Walt25,50.18105,12.45311,19.74,961.67,0.349,none,acker Frisch bepfl ,WS220,18-04-2024 18:20:1,4.60,true value
ProfilKopaninaAnna54,50.18132,12.45359,7,980,0.718,none,none,WS082,18-04-2024 18:23:4,10.08,true value
propaninaprofilW3Walt26,50.18156,12.45412,19.64,961.63,0.247,none,acker Frisch bepfl ,WS220,18-04-2024 18:23:4,3.26,true value
ProfilKopaninaAnna55,50.18178,12.45467,7,966,1.190,none,gruene wiese ,WS082,18-04-2024 18:27:0,16.47,true value
propaninaprofilW3Walt27,50.18201,12.45518,19.47,961.58,0.754,none,wiese,WS220,18-04-2024 18:27:1,9.95,true value
propaninaprofilW3Walt28,50.18234,12.45594,19.30,961.57,1.370,none,wiese,WS220,18-04-2024 18:29:5,18.08,true value
ProfilKopaninaAnna56,50.18222,12.45569,7,966,0.721,none,none,WS082,18-04-2024 18:30:4,9.98,true value
ProfilKopaninaAnna57,50.17391,12.44292,7,960,0.846,none,wiese,WS082,18-04-2024 19:02:4,11.64,true value
propaninaprofilW3Walt30,50.17349,12.44272,15.03,964.32,0.697,none,acker mit Weizen,WS220,18-04-2024 19:02:4,9.36,true value
ProfilKopaninaAnna58,50.17329,12.44253,7,960,1.250,none,acker mit weizen,WS082,18-04-2024 19:06:5,17.19,true value
propaninaprofilW3Walt31,50.17312,12.44236,17.03,963.85,0.653,none,acker Weizen frisch,WS220,18-04-2024 19:07:1,8.71,true value
ProfilKopaninaAnna59,50.17289,12.44194,7,960,1.000,none,none,WS082,18-04-2024 19:11:2,13.75,true value
propaninaprofilW3Walt31,50.17250,12.44144,18.13,963.51,0.484,none,wiese neben Acker,WS220,18-04-2024 19:11:2,6.43,true value
ProfilKopaninaAnna60,50.17230,12.44130,7,960,0.679,none,none,WS082,18-04-2024 19:14:4,9.34,true value